('1024', 'Fine-grain locking', 8, 495.59, '0/50/50')
('1024', 'Optimistic Synchronization', 8, 863.77, '0/50/50')
('1024', 'Lazy Synchronization', 8, 1675.08, '0/50/50')
('1024', 'Non-blocking Synchronization', 8, 1899.98, '0/50/50')
('1024', 'Coarse-grain locking', 16, 343.72, '0/50/50')
('1024', 'Fine-grain locking', 16, 225.45, '0/50/50')
('1024', 'Optimistic Synchronization', 16, 539.78, '0/50/50')
('1024', 'Lazy Synchronization', 16, 1072.15, '0/50/50')
('1024', 'Non-blocking Synchronization', 16, 1272.09, '0/50/50')
('1024', 'Coarse-grain locking', 32, 404.49, '0/50/50')
('1024', 'Fine-grain locking', 32, 244.04, '0/50/50')
('1024', 'Optimistic Synchronization', 32, 1709.79, '0/50/50')
('1024', 'Lazy Synchronization', 32, 3393.66, '0/50/50')
('1024', 'Non-blocking Synchronization', 32, 4547.61, '0/50/50')
('1024', 'Coarse-grain locking', 64, 202.0, '0/50/50')
('1024', 'Fine-grain locking', 64, 251.19, '0/50/50')
('1024', 'Optimistic Synchronization', 64, 2384.64, '0/50/50')
('1024', 'Lazy Synchronization', 64, 5403.46, '0/50/50')
('1024', 'Non-blocking Synchronization', 64, 7826.83, '0/50/50')
('1024', 'Coarse-grain locking', 128, 74.07, '0/50/50')
('1024', 'Fine-grain locking', 128, 4.22, '0/50/50')
('1024', 'Optimistic Synchronization', 128, 194.13, '0/50/50')
('1024', 'Lazy Synchronization', 128, 260.74, '0/50/50')
('1024', 'Non-blocking Synchronization', 128, 4375.08, '0/50/50')
('8192', 'Serial', 1, 149.24, '100/0/0')
('8192', 'Coarse-grain locking', 1, 152.05, '100/0/0')
('8192', 'Fine-grain locking', 1, 29.28, '100/0/0')
('8192', 'Optimistic Synchronization', 1, 71.78, '100/0/0')
('8192', 'Lazy Synchronization', 1, 136.29, '100/0/0')
('8192', 'Non-blocking Synchronization', 1, 92.81, '100/0/0')
('8192', 'Coarse-grain locking', 2, 149.67, '100/0/0')
('8192', 'Fine-grain locking', 2, 50.33, '100/0/0')
('8192', 'Optimistic Synchronization', 2, 94.18, '100/0/0')
('8192', 'Lazy Synchronization', 2, 299.89, '100/0/0')
('8192', 'Non-blocking Synchronization', 2, 184.24, '100/0/0')
('8192', 'Coarse-grain locking', 4, 143.52, '100/0/0')
('8192', 'Fine-grain locking', 4, 80.74, '100/0/0')
('8192', 'Optimistic Synchronization', 4, 131.85, '100/0/0')
('8192', 'Lazy Synchronization', 4, 579.15, '100/0/0')
('8192', 'Non-blocking Synchronization', 4, 354.47, '100/0/0')
('8192', 'Coarse-grain locking', 8, 133.37, '100/0/0')
('8192', 'Fine-grain locking', 8, 160.97, '100/0/0')
('8192', 'Optimistic Synchronization', 8, 131.14, '100/0/0')
('8192', 'Lazy Synchronization', 8, 1068.92, '100/0/0')
('8192', 'Non-blocking Synchronization', 8, 655.42, '100/0/0')
('8192', 'Coarse-grain locking', 16, 126.33, '100/0/0')
('8192', 'Fine-grain locking', 16, 71.47, '100/0/0')
('8192', 'Optimistic Synchronization', 16, 93.78, '100/0/0')
('8192', 'Lazy Synchronization', 16, 2144.05, '100/0/0')
('8192', 'Non-blocking Synchronization', 16, 1312.05, '100/0/0')
('8192', 'Coarse-grain locking', 32, 126.36, '100/0/0')
('8192', 'Fine-grain locking', 32, 30.79, '100/0/0')
('8192', 'Optimistic Synchronization', 32, 89.08, '100/0/0')
('8192', 'Lazy Synchronization', 32, 4279.38, '100/0/0')
('8192', 'Non-blocking Synchronization', 32, 2625.71, '100/0/0')
('8192', 'Coarse-grain locking', 64, 127.41, '100/0/0')
('8192', 'Fine-grain locking', 64, 14.9, '100/0/0')
('8192', 'Optimistic Synchronization', 64, 112.04, '100/0/0')
('8192', 'Lazy Synchronization', 64, 8197.96, '100/0/0')
('8192', 'Non-blocking Synchronization', 64, 5020.12, '100/0/0')
('8192', 'Coarse-grain locking', 128, 63.9, '100/0/0')
('8192', 'Fine-grain locking', 128, 0.32, '100/0/0')
('8192', 'Optimistic Synchronization', 128, 60.78, '100/0/0')
('8192', 'Lazy Synchronization', 128, 8263.66, '100/0/0')
('8192', 'Non-blocking Synchronization', 128, 5036.38, '100/0/0')
('8192', 'Serial', 1, 73.79, '80/10/10')
('8192', 'Coarse-grain locking', 1, 73.72, '80/10/10')
('8192', 'Fine-grain locking', 1, 38.92, '80/10/10')
('8192', 'Optimistic Synchronization', 1, 33.13, '80/10/10')
('8192', 'Lazy Synchronization', 1, 59.86, '80/10/10')
('8192', 'Non-blocking Synchronization', 1, 66.21, '80/10/10')
('8192', 'Coarse-grain locking', 2, 71.44, '80/10/10')
('8192', 'Fine-grain locking', 2, 38.1, '80/10/10')
('8192', 'Optimistic Synchronization', 2, 60.42, '80/10/10')
('8192', 'Lazy Synchronization', 2, 116.23, '80/10/10')
('8192', 'Non-blocking Synchronization', 2, 126.51, '80/10/10')
('8192', 'Coarse-grain locking', 4, 67.56, '80/10/10')
('8192', 'Fine-grain locking', 4, 56.92, '80/10/10')
('8192', 'Optimistic Synchronization', 4, 111.14, '80/10/10')
('8192', 'Lazy Synchronization', 4, 214.65, '80/10/10')
('8192', 'Non-blocking Synchronization', 4, 236.9, '80/10/10')
('8192', 'Coarse-grain locking', 8, 44.05, '80/10/10')
('8192', 'Fine-grain locking', 8, 86.67, '80/10/10')
('8192', 'Optimistic Synchronization', 8, 156.56, '80/10/10')
('8192', 'Lazy Synchronization', 8, 316.22, '80/10/10')
('8192', 'Non-blocking Synchronization', 8, 329.35, '80/10/10')
('8192', 'Coarse-grain locking', 16, 37.71, '80/10/10')
('8192', 'Fine-grain locking', 16, 50.5, '80/10/10')
('8192', 'Optimistic Synchronization', 16, 231.28, '80/10/10')
('8192', 'Lazy Synchronization', 16, 491.39, '80/10/10')
('8192', 'Non-blocking Synchronization', 16, 504.01, '80/10/10')
('8192', 'Coarse-grain locking', 32, 37.16, '80/10/10')
('8192', 'Fine-grain locking', 32, 55.02, '80/10/10')
('8192', 'Optimistic Synchronization', 32, 374.12, '80/10/10')
('8192', 'Lazy Synchronization', 32, 841.94, '80/10/10')
('8192', 'Non-blocking Synchronization', 32, 872.09, '80/10/10')
('8192', 'Coarse-grain locking', 64, 37.05, '80/10/10')
('8192', 'Fine-grain locking', 64, 70.76, '80/10/10')
('8192', 'Optimistic Synchronization', 64, 423.93, '80/10/10')
('8192', 'Lazy Synchronization', 64, 905.52, '80/10/10')
('8192', 'Non-blocking Synchronization', 64, 833.3, '80/10/10')
('8192', 'Coarse-grain locking', 128, 16.37, '80/10/10')
('8192', 'Fine-grain locking', 128, 0.34, '80/10/10')
('8192', 'Optimistic Synchronization', 128, 219.97, '80/10/10')
('8192', 'Lazy Synchronization', 128, 591.4, '80/10/10')
('8192', 'Non-blocking Synchronization', 128, 554.77, '80/10/10')
('8192', 'Serial', 1, 67.38, '20/40/40')
('8192', 'Coarse-grain locking', 1, 85.42, '20/40/40')
('8192', 'Fine-grain locking', 1, 39.42, '20/40/40')
('8192', 'Optimistic Synchronization', 1, 30.63, '20/40/40')
('8192', 'Lazy Synchronization', 1, 63.06, '20/40/40')
('8192', 'Non-blocking Synchronization', 1, 69.04, '20/40/40')
('8192', 'Coarse-grain locking', 2, 78.47, '20/40/40')
('8192', 'Fine-grain locking', 2, 35.44, '20/40/40')
('8192', 'Optimistic Synchronization', 2, 58.61, '20/40/40')
('8192', 'Lazy Synchronization', 2, 121.74, '20/40/40')
('8192', 'Non-blocking Synchronization', 2, 136.8, '20/40/40')
('8192', 'Coarse-grain locking', 4, 76.38, '20/40/40')
('8192', 'Fine-grain locking', 4, 53.47, '20/40/40')
('8192', 'Optimistic Synchronization', 4, 110.96, '20/40/40')
('8192', 'Lazy Synchronization', 4, 230.7, '20/40/40')
('8192', 'Non-blocking Synchronization', 4, 262.5, '20/40/40')
('8192', 'Coarse-grain locking', 8, 46.87, '20/40/40')
('8192', 'Fine-grain locking', 8, 82.05, '20/40/40')
('8192', 'Optimistic Synchronization', 8, 161.09, '20/40/40')
('8192', 'Lazy Synchronization', 8, 344.77, '20/40/40')
('8192', 'Non-blocking Synchronization', 8, 374.26, '20/40/40')
('8192', 'Coarse-grain locking', 16, 37.9, '20/40/40')
('8192', 'Fine-grain locking', 16, 47.54, '20/40/40')
('8192', 'Optimistic Synchronization', 16, 238.07, '20/40/40')
('8192', 'Lazy Synchronization', 16, 508.34, '20/40/40')
('8192', 'Non-blocking Synchronization', 16, 547.42, '20/40/40')
('8192', 'Coarse-grain locking', 32, 39.93, '20/40/40')
('8192', 'Fine-grain locking', 32, 58.89, '20/40/40')
('8192', 'Optimistic Synchronization', 32, 388.86, '20/40/40')
('8192', 'Lazy Synchronization', 32, 806.82, '20/40/40')
('8192', 'Non-blocking Synchronization', 32, 894.61, '20/40/40')
('8192', 'Coarse-grain locking', 64, 27.22, '20/40/40')
('8192', 'Fine-grain locking', 64, 90.48, '20/40/40')
('8192', 'Optimistic Synchronization', 64, 418.13, '20/40/40')
('8192', 'Lazy Synchronization', 64, 906.97, '20/40/40')
('8192', 'Non-blocking Synchronization', 64, 855.68, '20/40/40')
('8192', 'Coarse-grain locking', 128, 13.35, '20/40/40')
('8192', 'Fine-grain locking', 128, 0.29, '20/40/40')
('8192', 'Optimistic Synchronization', 128, 227.51, '20/40/40')
('8192', 'Lazy Synchronization', 128, 549.03, '20/40/40')
('8192', 'Non-blocking Synchronization', 128, 616.23, '20/40/40')
('8192', 'Serial', 1, 90.82, '0/50/50')
('8192', 'Coarse-grain locking', 1, 82.48, '0/50/50')
('8192', 'Fine-grain locking', 1, 40.76, '0/50/50')
('8192', 'Optimistic Synchronization', 1, 30.84, '0/50/50')
('8192', 'Lazy Synchronization', 1, 65.71, '0/50/50')
('8192', 'Non-blocking Synchronization', 1, 73.01, '0/50/50')
('8192', 'Coarse-grain locking', 2, 82.84, '0/50/50')
('8192', 'Fine-grain locking', 2, 35.27, '0/50/50')
('8192', 'Optimistic Synchronization', 2, 59.16, '0/50/50')
('8192', 'Lazy Synchronization', 2, 125.99, '0/50/50')
('8192', 'Non-blocking Synchronization', 2, 142.47, '0/50/50')
('8192', 'Coarse-grain locking', 4, 78.65, '0/50/50')
('8192', 'Fine-grain locking', 4, 53.08, '0/50/50')
('8192', 'Optimistic Synchronization', 4, 110.37, '0/50/50')
('8192', 'Lazy Synchronization', 4, 235.53, '0/50/50')
('8192', 'Non-blocking Synchronization', 4, 264.14, '0/50/50')
('8192', 'Coarse-grain locking', 8, 49.89, '0/50/50')
('8192', 'Fine-grain locking', 8, 82.18, '0/50/50')
('8192', 'Optimistic Synchronization', 8, 160.83, '0/50/50')
('8192', 'Lazy Synchronization', 8, 349.19, '0/50/50')
('8192', 'Non-blocking Synchronization', 8, 385.55, '0/50/50')
('8192', 'Coarse-grain locking', 16, 48.13, '0/50/50')
('8192', 'Fine-grain locking', 16, 47.51, '0/50/50')
('8192', 'Optimistic Synchronization', 16, 236.12, '0/50/50')
('8192', 'Lazy Synchronization', 16, 484.81, '0/50/50')
('8192', 'Non-blocking Synchronization', 16, 548.1, '0/50/50')
('8192', 'Coarse-grain locking', 32, 31.99, '0/50/50')
('8192', 'Fine-grain locking', 32, 59.15, '0/50/50')
('8192', 'Optimistic Synchronization', 32, 381.48, '0/50/50')
('8192', 'Lazy Synchronization', 32, 781.12, '0/50/50')
('8192', 'Non-blocking Synchronization', 32, 899.12, '0/50/50')
('8192', 'Coarse-grain locking', 64, 32.52, '0/50/50')
('8192', 'Fine-grain locking', 64, 93.63, '0/50/50')
('8192', 'Optimistic Synchronization', 64, 418.11, '0/50/50')
('8192', 'Lazy Synchronization', 64, 889.92, '0/50/50')
('8192', 'Non-blocking Synchronization', 64, 951.52, '0/50/50')
('8192', 'Coarse-grain locking', 128, 14.29, '0/50/50')
('8192', 'Fine-grain locking', 128, 0.33, '0/50/50')
('8192', 'Optimistic Synchronization', 128, 229.62, '0/50/50')
('8192', 'Lazy Synchronization', 128, 504.22, '0/50/50')
('8192', 'Non-blocking Synchronization', 128, 630.42, '0/50/50')
